Customer ID,Age,Gender,Marital Status,Education Level,Geographic Information,Occupation,Income Level,Purchase History,Interactions with Customer Service,Customer Preferences,Preferred Communication Channel,Preferred Contact Time,Preferred Language
84966,23,0,0,0,0,0,70541,04-10-2018,0,0,In-Person Meeting,Afternoon,English
95568,26,1,1,1,1,1,54168,11-06-2018,1,1,In-Person Meeting,Morning,French
10544,29,0,2,0,2,0,73899,06-05-2021,2,0,Mail,Evening,German
77033,20,1,3,2,3,0,63381,09-02-2018,1,2,In-Person Meeting,Anytime,French
88160,25,0,4,2,4,1,38794,09-10-2018,1,0,Text,Weekends,English
60937,41,0,4,3,5,2,87188,9/19/2020,1,2,Text,Afternoon,English
37676,55,1,2,2,2,1,94891,07-04-2021,1,3,Text,Weekends,Mandarin
54100,35,1,0,3,6,3,61003,11-01-2021,0,0,Phone,Morning,English
30476,43,0,2,1,7,4,116249,9/20/2020,3,3,Text,Weekends,Mandarin
39071,32,0,2,3,8,3,49083,4/24/2020,0,4,Email,Weekends,English
38477,69,1,1,3,9,3,62099,3/20/2022,4,3,Text,Weekends,French
38329,47,0,0,0,5,5,110698,05-10-2021,1,3,Text,Afternoon,German
6580,31,0,2,0,10,6,90301,10/28/2018,3,3,Mail,Evening,French
67128,65,0,1,4,6,0,24648,12/28/2018,0,3,In-Person Meeting,Evening,English
34814,64,1,2,4,11,7,105009,09-05-2020,0,3,Email,Evening,German
86048,53,1,2,2,7,8,29783,08-06-2021,1,3,Email,Afternoon,Spanish
24881,69,0,0,2,12,3,114236,11/16/2018,3,1,Mail,Weekends,Spanish
24076,48,0,3,2,9,6,107359,10/15/2023,2,2,In-Person Meeting,Evening,Mandarin
38654,53,1,3,0,13,1,49224,10/26/2020,1,1,Mail,Evening,Mandarin
47840,62,1,3,0,10,0,117264,07-11-2019,2,2,Mail,Weekends,English
88939,62,1,3,2,14,5,73889,8/28/2018,4,0,Email,Evening,Mandarin
76694,43,1,2,0,15,0,51844,10/20/2021,4,0,Email,Evening,Spanish
50165,58,1,0,2,8,5,103753,11/17/2023,1,4,Email,Weekends,Mandarin
44730,56,0,4,4,16,7,117504,11-01-2023,1,0,Mail,Weekends,Mandarin
9015,68,1,0,2,11,5,27364,12/25/2022,1,0,Mail,Evening,German
62346,64,0,2,1,16,0,107930,12/14/2021,3,0,Mail,Morning,Spanish
64156,43,1,2,3,7,2,89640,07-01-2022,1,0,Phone,Evening,German
86289,70,1,1,2,3,6,134035,3/22/2018,1,3,Email,Weekends,German
88530,63,1,2,1,8,7,117967,7/26/2023,1,4,Text,Weekends,Mandarin
9099,63,0,3,4,4,0,47896,02-02-2022,2,2,Mail,Morning,German
63711,45,0,1,2,10,3,24313,1/17/2022,2,0,Phone,Weekends,Spanish
82780,51,0,2,1,1,8,107642,12-08-2022,4,4,Text,Morning,German
63407,52,1,3,3,10,0,53299,10/28/2019,4,0,Phone,Morning,English
52061,56,1,0,0,17,7,121335,04-06-2018,2,4,Email,Morning,Mandarin
11966,27,1,0,0,18,4,36781,8/19/2023,2,2,Mail,Weekends,English
16809,69,0,3,0,19,3,105191,3/14/2023,2,3,Mail,Anytime,Mandarin
70594,25,0,0,2,0,6,98964,4/15/2021,0,1,In-Person Meeting,Evening,German
